config,brier_12h,ece_12h,mce_12h,cal_slope_12h,cal_intercept_12h,brier_24h,ece_24h,mce_24h,cal_slope_24h,cal_intercept_24h,brier_48h,ece_48h,mce_48h,cal_slope_48h,cal_intercept_48h,c_index,c_index_proxy,c_index_uno,ibs,ibs_proxy,ibs_continuous,delta_c_index,p_c_index,p_c_index_two,delta_ibs,p_ibs,p_ibs_two,delta_brier_12h,p_brier_12h,p_brier_12h_two,delta_brier_24h,p_brier_24h,p_brier_24h_two,delta_brier_48h,p_brier_48h,p_brier_48h_two
Full Model,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.034737210724874644,0.014163049146717089,0.6513530230204821,0.9976641008250926,-0.06135650501242124,0.02693285775458822,0.031082258817738635,0.7768533837802436,1.075341033196707,-0.2717415564053844,0.9398807552169592,0.9398807552169592,0.9411045305085939,0.040625046444414635,0.040625046444414635,,0.0,,,0.0,,,,,,,,,,,
AFT Only,0.0545516491672329,0.03415208210293933,0.8425316548323187,0.8997769378243143,0.06135604747577112,0.03506244677664693,0.01979923900775877,0.8664446716218192,0.8704800432609302,0.06217381877631448,0.026636708258174675,0.019390124007682807,0.844779246648837,1.015543486023565,-0.5385034456577749,0.93839019542895,0.93839019542895,0.9396330278939253,0.038750268067351504,0.038750268067351504,,0.0015322478056248668,0.17,0.34,-0.0018512068723207245,0.805,0.3899999999999999,-0.005753283469285751,0.961,0.07800000000000007,0.000417868561998517,0.458,0.916,-0.00021820570967493878,0.502,0.996
AFT + Direct,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.037160797755006324,0.027541774802791484,0.7459360167353821,0.8413088473180779,0.0967447733992559,0.027131194896198786,0.022636928272549747,0.678302921373049,0.9139107888211997,-0.1892141620534168,0.9373964889036105,0.9373964889036105,0.9386772623345773,0.041499021168328716,0.041499021168328716,,0.0024822897377301998,0.012,0.024,0.0008543144048584337,0.294,0.588,0.0,1.0,0.0,0.0024092660023549324,0.13,0.26,0.00015367721222036873,0.488,0.976
AFT + Direct + Cox,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.037160797755006324,0.027541774802791484,0.7459360167353821,0.8413088473180779,0.0967447733992559,0.027131194896198786,0.022636928272549747,0.678302921373049,0.9139107888211997,-0.1892141620534168,0.9382659821132825,0.9382659821132825,0.9395358280271509,0.041499021168328716,0.041499021168328716,,0.0015956302648533894,0.048,0.096,0.0008543144048584337,0.294,0.588,0.0,1.0,0.0,0.0024092660023549324,0.13,0.26,0.00015367721222036873,0.488,0.976
AFT + Direct + Gate,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.037160797755006324,0.027541774802791484,0.7459360167353821,0.8413088473180779,0.0967447733992559,0.027131194896198786,0.022636928272549747,0.678302921373049,0.9139107888211997,-0.1892141620534168,0.9373964889036105,0.9373964889036105,0.9386772623345773,0.041499021168328716,0.041499021168328716,,0.0024822897377301998,0.012,0.024,0.0008543144048584337,0.294,0.588,0.0,1.0,0.0,0.0024092660023549324,0.13,0.26,0.00015367721222036873,0.488,0.976
w/o Gate Prior,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.03475231571401334,0.013870911147364634,0.6510307118795041,1.0062462787979047,-0.07218939541030626,0.026967071375052803,0.030381859896730392,0.7720617092905083,1.084913422563516,-0.2823541710001238,0.9401291818482941,0.9401291818482941,0.9413628721352153,0.04064148598094906,0.04064148598094906,,-0.00025557253172357763,0.968,0.06400000000000006,1.6173926817909795e-05,0.262,0.524,0.0,1.0,0.0,1.4847927382902033e-05,0.327,0.654,3.367385307082736e-05,0.259,0.518
w/o Cox Branch,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.034737210724874644,0.014163049146717089,0.6513530230204821,0.9976641008250926,-0.06135650501242124,0.02693285775458822,0.031082258817738635,0.7768533837802436,1.075341033196707,-0.2717415564053844,0.9396737330241802,0.9396737330241802,0.9407116886752354,0.040625046444414635,0.040625046444414635,,0.00015533329440784726,0.446,0.892,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
w/o IPCW,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.03527971441152437,0.01579724202454025,0.5507092366855557,0.9750607850482785,-0.03578237368427614,0.024733513773303555,0.02591776611881071,0.7079769676597243,1.1501409909518308,-0.38039600267049534,0.9388042398145081,0.9388042398145081,0.9400817700800403,0.040072766346202986,0.040072766346202986,,0.0010738075305024367,0.055,0.11,-0.0005216541832014387,0.8,0.3999999999999999,0.0,1.0,0.0,0.0006117221084974592,0.322,0.644,-0.0021766846581017752,0.977,0.04600000000000004
w/o Simple Distance,0.060205070853781045,0.05736422419551136,0.5560525762937714,0.8053080842828173,0.2450558071997011,0.03621215071054629,0.014625828220326733,0.7599599857500452,0.9099498691701738,6.66519752610499e-05,0.02951383948153706,0.030814134142193902,0.7528592430841818,0.9318857253814979,-0.2008542669146275,0.938183173236171,0.938183173236171,0.9394604201948995,0.04197702034862146,0.04197702034862146,,0.0016976234215919364,0.025,0.05,0.001303965484978285,0.156,0.312,0.0,1.0,0.0,0.0013953619530740217,0.211,0.422,0.002516534501860833,0.122,0.244
w/o Direct Heads,0.0545516491672329,0.03415208210293933,0.8425316548323187,0.8997769378243143,0.06135604747577112,0.03367854244445547,0.02107144510053493,0.5953974672318405,1.0661149866479909,-0.14350382986751933,0.026520260672936065,0.03794851167219048,0.8929606838152829,1.1237460968641266,-0.3482027348658563,0.940833057303743,0.940833057303743,0.9420027138546061,0.03825015076154148,0.03825015076154148,,-0.0008990868649255705,0.789,0.42199999999999993,-0.0023720758028442147,0.937,0.1259999999999999,-0.005753283469285751,0.961,0.07800000000000007,-0.001022044604415203,0.83,0.3400000000000001,-0.0003408993348316891,0.601,0.798
Thin Features Only,0.059726678263663714,0.030001745643775397,0.6471959457610776,0.8689545929430733,0.28265923148755623,0.03810076593553257,0.024224451754800185,0.3358221305130157,0.9688119711231103,0.10391923311131566,0.025482675066351244,0.021869336492469155,0.4638409250451785,1.1249219774307153,0.05783151411831148,0.9396323285856244,0.9396323285856244,0.9406967620136457,0.04110337308851584,0.04110337308851584,,0.00018211114795158468,0.482,0.964,0.0005926786742643756,0.417,0.834,-0.0003304499181925295,0.506,0.988,0.003535047167180974,0.146,0.292,-0.0014265612261953177,0.708,0.5840000000000001
