threshold,sensitivity,specificity,ppv,npv,f1,tp,fp,tn,fn,horizon,net_benefit
0.1,0.9591836734693877,0.8855421686746988,0.7121212121212122,0.9865771812080537,0.8173913043478261,47,19,147,2,12h,0.20878552971576228
0.2,0.9591836734693877,0.9096385542168675,0.7580645161290323,0.9869281045751634,0.8468468468468469,47,15,151,2,12h,0.20116279069767443
0.3,0.9387755102040817,0.927710843373494,0.7931034482758621,0.9808917197452229,0.8598130841121495,46,12,154,3,12h,0.19003322259136213
0.5,0.7959183673469388,0.9457831325301205,0.8125,0.9401197604790419,0.8041237113402062,39,9,157,10,12h,0.13953488372093026
0.7,0.7755102040816326,0.9518072289156626,0.8260869565217391,0.9349112426035503,0.8,38,8,158,11,12h,0.08992248062015505
0.1,0.9841269841269841,0.9323308270676691,0.8732394366197183,0.992,0.9253731343283582,62,9,124,1,24h,0.3112244897959184
0.2,0.9841269841269841,0.9398496240601504,0.8857142857142857,0.9920634920634921,0.9323308270676691,62,8,125,1,24h,0.30612244897959184
0.3,0.9841269841269841,0.9398496240601504,0.8857142857142857,0.9920634920634921,0.9323308270676691,62,8,125,1,24h,0.29883381924198255
0.5,0.9682539682539683,0.9548872180451128,0.9104477611940298,0.9844961240310077,0.9384615384615385,61,6,127,2,24h,0.2806122448979592
0.7,0.9523809523809523,0.9624060150375939,0.9230769230769231,0.9770992366412213,0.9375,60,5,128,3,24h,0.24659863945578234
0.1,1.0,0.95,0.9295774647887324,1.0,0.9635036496350365,66,5,95,0,48h,0.39424364123159306
0.2,1.0,0.95,0.9295774647887324,1.0,0.9635036496350365,66,5,95,0,48h,0.39006024096385544
0.3,0.9848484848484849,0.95,0.9285714285714286,0.9895833333333334,0.9558823529411765,65,5,95,1,48h,0.378657487091222
0.5,0.9696969696969697,0.96,0.9411764705882353,0.9795918367346939,0.9552238805970149,64,4,96,2,48h,0.3614457831325301
0.7,0.9545454545454546,0.96,0.9402985074626866,0.9696969696969697,0.9473684210526315,63,4,96,3,48h,0.3232931726907631
