"configuration","p_c_index_two_sided","p_ibs_two_sided","p_brier_12h_two_sided","p_brier_24h_two_sided","p_brier_48h_two_sided"
"AFT Only","0.34","0.3899999999999999","0.07800000000000007","0.916","0.996"
"AFT + Direct","0.024","0.588","0.0","0.26","0.976"
"AFT + Direct + Cox","0.096","0.588","0.0","0.26","0.976"
"AFT + Direct + Gate","0.024","0.588","0.0","0.26","0.976"
"w/o Gate Prior","0.06400000000000006","0.524","0.0","0.654","0.518"
"w/o Cox Branch","0.892","0.0","0.0","0.0","0.0"
"w/o IPCW","0.11","0.3999999999999999","0.0","0.644","0.04600000000000004"
"w/o Simple Distance","0.05","0.312","0.0","0.422","0.244"
"w/o Direct Heads","0.42199999999999993","0.1259999999999999","0.07800000000000007","0.3400000000000001","0.798"
"Thin Features Only","0.964","0.834","0.988","0.292","0.5840000000000001"
