feature,importance
log_dist,19.996267318725586
dist_min_ci_0_5h,10.480589866638184
low_temporal_resolution_0_5h,8.913089752197266
num_perimeters_0_5h,3.625459909439087
inv_dist,3.424189805984497
dt_first_last_0_5h,2.0127830505371094
short_range_urgency,0.9927628636360168
cross_track_component,0.8867690563201904
start_month_sin,0.7322326302528381
event_start_month,0.7079966068267822
spread_bearing_deg,0.6651469469070435
dist_accel_m_per_h2,0.6551358103752136
alignment_cos,0.5572425127029419
start_hour_cos,0.5438040494918823
eta_hours,0.5373326539993286
area_growth_rate_ha_per_h,0.47968292236328125
area_first_ha,0.4599146544933319
start_dow_cos,0.452467143535614
log1p_area_first,0.405691534280777
area_growth_abs_0_5h,0.3938777446746826
alignment_abs,0.3933883309364319
dist_std_ci_0_5h,0.3900447487831116
event_start_hour,0.3849859833717346
start_dow_sin,0.3653648793697357
log_area_ratio_0_5h,0.3642343282699585
area_growth_rel_0_5h,0.36233651638031006
event_start_dayofweek,0.343483567237854
start_month_cos,0.33379513025283813
start_hour_sin,0.3294854164123535
dist_slope_ci_0_5h,0.2371792495250702
along_track_speed,0.23244895040988922
spread_bearing_cos,0.22399528324604034
centroid_displacement_m,0.22100162506103516
spread_bearing_sin,0.0912080928683281
radial_growth_rate_m_per_h,0.0
radial_growth_m,0.0
log1p_growth,0.0
centroid_speed_m_per_h,0.0
dist_change_ci_0_5h,0.0
closing_speed_abs_m_per_h,0.0
projected_advance_m,0.0
dist_fit_r2_0_5h,0.0
closing_speed_m_per_h,0.0
area_speed_interaction,0.0
closing_x_growth,0.0
regime_threat,0.0
directional_push,0.0
regime_boundary,0.0
regime_far,0.0
